distance,error_rate,logical_error_rate,n_trials,n_logical_errors,mean_decode_ns
3,0.0200,0.013000,5000,65,263.9
3,0.0300,0.032400,5000,162,333.0
3,0.0400,0.053800,5000,269,409.5
3,0.0500,0.074800,5000,374,465.4
3,0.0600,0.108400,5000,542,524.1
3,0.0700,0.145000,5000,725,569.5
3,0.0800,0.177200,5000,886,609.6
3,0.0900,0.216200,5000,1081,666.6
3,0.1000,0.255800,5000,1279,691.6
3,0.1100,0.290000,5000,1450,715.2
3,0.1200,0.333400,5000,1667,729.1
3,0.1300,0.360600,5000,1803,749.7
3,0.1400,0.390200,5000,1951,777.9
5,0.0200,0.008000,5000,40,1101.0
5,0.0300,0.022000,5000,110,1417.6
5,0.0400,0.042400,5000,212,1983.0
5,0.0500,0.078000,5000,390,2093.4
5,0.0600,0.114000,5000,570,2230.2
5,0.0700,0.162000,5000,810,2379.5
5,0.0800,0.209800,5000,1049,2529.5
5,0.0900,0.270200,5000,1351,2621.9
5,0.1000,0.314800,5000,1574,2727.2
5,0.1100,0.370000,5000,1850,3627.5
5,0.1200,0.420200,5000,2101,2821.8
5,0.1300,0.462600,5000,2313,2638.0
5,0.1400,0.498400,5000,2492,2733.2
7,0.0200,0.003800,5000,19,3523.8
7,0.0300,0.012400,5000,62,6853.6
7,0.0400,0.031200,5000,156,4814.7
7,0.0500,0.059800,5000,299,4959.2
7,0.0600,0.102800,5000,514,5225.4
7,0.0700,0.157600,5000,788,7463.3
7,0.0800,0.206400,5000,1032,5960.4
7,0.0900,0.274200,5000,1371,6190.1
7,0.1000,0.343600,5000,1718,6530.7
7,0.1100,0.416600,5000,2083,6852.2
7,0.1200,0.464200,5000,2321,8486.6
7,0.1300,0.526200,5000,2631,7692.2
7,0.1400,0.568000,5000,2840,9144.2
9,0.0200,0.001400,5000,7,6227.9
9,0.0300,0.005400,5000,27,6862.4
9,0.0400,0.020600,5000,103,9624.3
9,0.0500,0.052800,5000,264,8328.6
9,0.0600,0.095200,5000,476,9122.9
9,0.0700,0.143400,5000,717,9986.3
9,0.0800,0.227000,5000,1135,12364.7
9,0.0900,0.289400,5000,1447,13636.9
9,0.1000,0.372400,5000,1862,13435.8
9,0.1100,0.445400,5000,2227,15858.5
9,0.1200,0.514000,5000,2570,17159.9
9,0.1300,0.574400,5000,2872,18949.2
9,0.1400,0.611400,5000,3057,20030.6